title,weight,price,image
Pomelo Vietnam,1kg,10,https://www.luluhypermarket.com/medias/1382282-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3w0ODM5NnxpbWFnZS9qcGVnfGgzNi9oYzYvOTY5MDM1MzI3MDgxNC8xMzgyMjgyLTAxLmpwZ18zMDBXeDMwMEh8NGY5OTA3Zjg2NzM5NzZhYjljMTlhNjQxNWNjZTU1ODE0M2Q3NjNmNTllMzM2MzA5YmZmMWM1NWNjOGU3MDkwNQ
Lime India,250g,3,https://www.luluhypermarket.com/medias/18708-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wxNzY5N3xpbWFnZS9qcGVnfGltYWdlcy9oYTEvaDJjLzkxNDc4MzQ2MzAxNzQuanBnfDBlMDhjNTY0YjE4MTllNmUwMTVkYzBmNDg0NTBmYTViMTg3ZWEyMzYzNDNmNThhNWM4MWMyMTcwMjg5NWQ0NGM
Cluster Beans India,500g,6,https://www.luluhypermarket.com/medias/372415-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wxODIzNXxpbWFnZS9qcGVnfGltYWdlcy9oOTcvaGYyLzkxNDgwMTg4NTE4NzAuanBnfGE5MTQ0Y2QxN2FmMGM0ZWE3NTk5MTY5Y2RkMWFhN2EwMDNkMmFlOTg1OGUwNWZhMDVlZGI5YmRiNzg5N2JiZjM
TJC Mango Sri Lanka,1kg,23.5,https://www.luluhypermarket.com/medias/1369257-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wxMzE3MnxpbWFnZS9qcGVnfGltYWdlcy9oNmMvaDE2LzkxNDgyODQ0NjkyNzguanBnfGQyZmJkMDhkYzA4NjhkYmRmZmNjMWE5MjkzMzU2NzA2YmI4YzIwMzQ5MzgyOTJjNWE3ZGM2ZGEyZjM1ZWNjZDY
Apple Royal Gala UK,1kg,7,https://www.luluhypermarket.com/medias/1269596-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3w1MTE2N3xpbWFnZS9qcGVnfGltYWdlcy9oYTEvaDc3L2gwMC85MzAyMDA5MTE4NzUwLmpwZ3w5OTQwOWFhMGRhOTk4NmJmNTNlNWRhZjcyYzFhMGIxMWNkMDBiMzcxNjRiMDI3MzdmNTdiNWEwMDU2MTFjNWFl
Farm Fresh Beans,500g,4.5,https://www.luluhypermarket.com/medias/649493-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3w0MTE5MXxpbWFnZS9qcGVnfGhjNy9oYzYvOTc4MDgyNzkxNDI3MC82NDk0OTMtMDEuanBnXzMwMFd4MzAwSHw1NjUyMDAwOGRkYmZlODhjOTFlNjU5MmJmYTFhODkzM2IzZDlhNmZjMzE0MjU2ODdjNjk1Y2U4MzA0ZjNkZjhi
Premium Eggplant Round Qatar,1pkt,5,https://www.luluhypermarket.com/medias/1377979-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wzMjkwNHxpbWFnZS9qcGVnfGg2ZC9oOWEvOTc4ODUyNjkxOTcxMC8xMzc3OTc5LTAxLmpwZ18zMDBXeDMwMEh8ZGVmY2FhMDU2YTQ4MDAyMTY5ZDdkMjQ5NjEyYjI1NTQ1NjFkMDI1ZTZhZWU1N2NiOWI1MzJhNWQ2ZGUxNGVjNA
Banana Philippines,1kg,5,https://www.luluhypermarket.com/medias/19121-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wyMjkzMXxpbWFnZS9qcGVnfGg2YS9oYzQvOTUxNDMxOTU3NzExOC8xOTEyMS0wMS5qcGdfMzAwV3gzMDBIfGVlNWMxYzY0YTkyNGU2MzRlMjJmMzBhNTI3NjI5NjhjZjNhODQwMmY3NjEwZDE3MjZhNjI4ZjczZjJmYThkM2I
Drumstick Leaves,150g,4.75,https://www.luluhypermarket.com/medias/475266-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wzMzk3MnxpbWFnZS9qcGVnfGg0Yy9oMzAvOTY3ODIwMTcxNjc2Ni80NzUyNjYtMDEuanBnXzMwMFd4MzAwSHw1Mzg0NmFjMWZjOTEzMTVkNDU5NjJmYWNkZGI5MWM1ZDFlZmIyODllNmIwYThhOWViOTM0ZDgxYzZmNDJjMWMy
Strawberry Morocco,1 Pkt,7.5,https://www.luluhypermarket.com/medias/388906-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wyMjA3MnxpbWFnZS9qcGVnfGltYWdlcy9oMGUvaGFlLzkwODQzODE2NTkxNjYuanBnfDRmZDgwNzcwMGRhZjUxM2NjNGVjZDJhZDkyYjgwMTJiOWFjNTM2MzAyZjhkYjQxMjY1Y2Y1MDExZWY2MzJiM2Q
Baby Pineapple South Africa,1pc,10,https://www.luluhypermarket.com/medias/384732-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wzNzA2N3xpbWFnZS9qcGVnfGltYWdlcy9oMTcvaGE5LzkwODQyOTQ3NTg0MzAuanBnfGNmNjViY2E0MWM1OGZhNGY0MDRjOTI2MWUzMDNkYWM2Zjk3YTE1MzM2OTBkYzU1NTYzMjM2ZWFjZjgyNzg2Zjc
Radish White China,1kg,3.75,https://www.luluhypermarket.com/medias/18650-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wyMTk4MXxpbWFnZS9qcGVnfGltYWdlcy9oMDAvaGI4LzkxNzMzMzg1NTQzOTguanBnfGFiZGZiZjdmNThjMjJhMWZhYjU1ZTUzNzE4OWU4MTQ2YzIzMTFiOGVkMjQ0ZDMyMWM2ODY1NzRlZmE2NDNiNWQ
Okra,500g,6,https://www.luluhypermarket.com/medias/18565-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wzODU4NnxpbWFnZS9qcGVnfGg0YS9oODAvOTYzMzExODQ1Mzc5MC8xODU2NS0wMS5qcGdfMzAwV3gzMDBIfGNmYTU5OWMzMmQ2MzMxOWRlODY1ZDM3ZjUzNzcxYjljYzc1ODY2ZjI4MDBlM2M1MTQwMTE5ZDI3N2ZmNTFmYTU
Organic Raspberry,1 Pack,26.75,https://www.luluhypermarket.com/medias/558494-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3w1NTIxNXxpbWFnZS9qcGVnfGg0My9oYjgvMTA1MjU4NDM1ODcxMDIvNTU4NDk0LTAxLmpwZ18zMDBXeDMwMEh8MzA3YTRkMzAxNGUyNzMyZDIzMDViOWIyNjU3NTQzYWIxMDk2ODQ1NjM5NjQ4NjAzYzFkY2VkNmFiMTgyYjc2MA
Turmeric Thailand,1pkt,5.75,https://www.luluhypermarket.com/medias/784530-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3w5MjUyMHxpbWFnZS9qcGVnfGltYWdlcy9oNWYvaDU3LzkwNzA5NjM2NTQ2ODYuanBnfDM4YWJhNzZmMjA3MTU3M2U0NDdkYTRmYzE1ODQxMTcxYTNhZWYyMTliMDYwOTM3ZDI5N2RkZDU5ODdhZDU2YWM
Apple Red Iran,1kg,3.75,https://www.luluhypermarket.com/medias/18737-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wyMjc4NXxpbWFnZS9qcGVnfGltYWdlcy9oM2MvaGI1LzkxNDc4MzYzOTk2NDYuanBnfDZiMjdkMzNiNjk1Y2M0N2M1Njg0MjUxMzE0ZDQ1MzI1ODNlZTM4MmUxYmEzM2Q1MTBmZDJlMjlkMTkxOWY5Njg
Apple Golden France,1kg,7.5,https://www.luluhypermarket.com/medias/19048-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wxOTM4NHxpbWFnZS9qcGVnfGltYWdlcy9oNTYvaDk5LzkxNDc4NzA2NzQ5NzQuanBnfGUzMjAxMTE1NTI3NjQxMmExNTc5YTAwZDc3OTI1OWMyZTYyNDQ4MjQ3YWFkZTQ1Mzk2N2EyOTRlYTRkYzgzOTE
Grapes Red,500g,5.5,https://www.luluhypermarket.com/medias/18960-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wzMTY0MnxpbWFnZS9qcGVnfGltYWdlcy9oYmEvaDhlLzkxNzMzNDE1NjkwNTQuanBnfDU4NmM3ZTkyYzIxZjc2Njk3YWRkN2FkNzAxMWFhMGZhNjkxNWU5Y2IwZjdiZTUxZmIxYjgwYzQ0YTRlOThjZWY
Holland Courgettes Green,500g,21.5,https://www.luluhypermarket.com/medias/18820-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wxMDY3NnxpbWFnZS9qcGVnfGltYWdlcy9oNTIvaDc2LzkxNDc4Mzk5Mzg1OTAuanBnfGM5YzQwMWZlZjhkNmYwZDYxN2VkMDQ0MzYwODlkODM0YzMwZDY1NTQyZGYwNTMzOGM0YTE0MjUyYjc5YjI5NzU
Tomato Cherry Yellow Holland,250g,9.75,https://www.luluhypermarket.com/medias/18850-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wzMDQwM3xpbWFnZS9qcGVnfGltYWdlcy9oMDAvaDE4LzkwNzk3NjI4MTI5NTguanBnfDQ2MTMyMDY2NGRmZDM3MzA5ZWRlMWU1MTExNjI0NjI4MDU0YmViMTNjNzAxM2VmMGU2ZGQ5ODMwODkxZTU2OTM
Red Radish Holland,125g,3.75,https://www.luluhypermarket.com/medias/18860-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wyMDQ4NXxpbWFnZS9qcGVnfGltYWdlcy9oODYvaDQ3LzkwNzk3NjUxNzIyNTQuanBnfGJjODYyZTU0MjA0M2I2NWU5NzVkYWMwNjA3MDFjOGQ1NDAzZDliNzhlYjU5ZGNlY2RjN2NmODFkNzEyNTY1ZGI
Red Currant Holland,1pkt,14.75,https://www.luluhypermarket.com/medias/384431-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3w1Mzk4M3xpbWFnZS9qcGVnfGgwOS9oZWMvMTA1MjU4MzkzOTI3OTgvMzg0NDMxLTAxLmpwZ18zMDBXeDMwMEh8Njc3ZWEwNTRkOTc0NDU0NDk2OGU0ZGFjNmFkMDVhNmI1OWNlNDc3NjI5MzBkMTY2OTc5NTlkMzdhMTUxZDY3YQ
Capsicum Mix Import Holland,400g,13.75,https://www.luluhypermarket.com/medias/386097-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wzODE3MHxpbWFnZS9qcGVnfGltYWdlcy9oZDQvaDUwLzkwODQzMjMwNjk5ODIuanBnfGFmZGJmNjg2MTA5NTVkMWFhYzIyY2JmMzE0ZGMwMTFmOGUxZTI2OWM1Yzc1YzU0OGVlODYwNzdjMWZkMWQ2ZmY
Tomyam Mix Thailand,1pkt,9.75,https://www.luluhypermarket.com/medias/1492912-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3w1OTc5NXxpbWFnZS9qcGVnfGhiOC9oMDQvOTY2NjQwNzU5NjA2Mi8xNDkyOTEyLTAxLmpwZ18zMDBXeDMwMEh8Y2VlNGRmMmM1MjEwNzc4N2M5NmUwZWIwNTE2MWVkZDdiMTVhODg0OTFlZDFlZjQ4M2M5ODNiNTllOWI3N2ZiNw
Apple Rockit,1pkt,16.5,https://www.luluhypermarket.com/medias/1238549-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wxOTY3NnxpbWFnZS9qcGVnfGltYWdlcy9oYTYvaDhlLzkxMzk1OTQ5ODU1MDIuanBnfDhhNTI1MGVjNWNjYmE3ODgxYTFjNTEyNTAyOGIyOWRhOGQyNmJlMWEwYmRhOTJmZGRiN2ZiODI4MGY4ZDE5OWM
Chinese Cabbage Holland,1kg,32,https://www.luluhypermarket.com/medias/18762-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wyOTMzMnxpbWFnZS9qcGVnfGhkMC9oNzEvOTcxOTQ3NDk3ODg0Ni8xODc2Mi0wMS5qcGdfMzAwV3gzMDBIfGY1NTZmNTE4NjJjNGY0YmU2M2I1MDU5ODRhNDc2OTI0YjllYzYwYWUyMjg3NGIzZjFlZDE5NGRjMzcxZjE4NWE
Dragon Fruit Thailand,1kg,29.5,https://www.luluhypermarket.com/medias/19105-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3w0NDI0N3xpbWFnZS9qcGVnfGg4MC9oYzMvOTcxMTcwMDM0NDg2Mi8xOTEwNS0wMS5qcGdfMzAwV3gzMDBIfDM0YWRlODkxZDA0NGRiNTBkZGExODY2MTIzZThkN2U3ZWJjNjBhNWViNDE5ZjU4OWE1MWQ3NjMxNGZjMGQxMTM
Green Banana India,500g,6.25,https://www.luluhypermarket.com/medias/40256-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wxNDY0NnxpbWFnZS9qcGVnfGg5OS9oOWEvOTgwNDEwNDY5NTgzOC80MDI1Ni0wMS5qcGdfMzAwV3gzMDBIfGMxNjIyYTQ1NWNkZTgwM2IxYjIzOGM2NzIzMDdmYWZlOTRkMWMxMDYxYjE4YmM3MzFkOGZhMTllODE5YWUzMDk
Gooseberry (Amla) India,250g,3.75,https://www.luluhypermarket.com/medias/40569-001.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wxMTIyN3xpbWFnZS9qcGVnfGltYWdlcy9oMjIvaDJkLzkxNDc5MTczMzY2MDYuanBnfDg5ZjNhOTQ0M2JiMThjYzU0ZGUzOGE0Yzc5NWZkZWViYmJmMmE3NWE4NzM3ZWE3NjI2ODRjNjA0NmRkN2FhMWY
Sliced Rock Melon,250g,8.25,https://www.luluhypermarket.com/medias/42907-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wyMjk5M3xpbWFnZS9qcGVnfGltYWdlcy9oNDcvaDk5LzkxNDc5NDkxODcxMDIuanBnfGU1OGY2ZTgzOTM1ODdlODM3YmE3MjQ1YjdmNGRkMWRiYjk3ZjY4YWJiODg0NTJmNzE1NGRlZjQxYmM4MGFmYTA
Curry Leaves India,1 bunch,2.25,https://www.luluhypermarket.com/medias/793593-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wyNDQyNXxpbWFnZS9qcGVnfGltYWdlcy9oNTAvaDhlLzkxNjk0NzY1MTc5MTguanBnfDRmNjNiMjFiZGU3NTNmNDNkYzA3YWZiNmUzYzY1YzI2OGE3OGRmNTJmNGMzMGUxYWI5ZmY1Y2NjNTk5ZmQzYmM
Lulu Fresh And Best Sambar Mix,1kg,9.5,https://www.luluhypermarket.com/medias/387050-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3w0ODk1NHxpbWFnZS9qcGVnfGhmZS9oNWYvOTY3ODE5NjUzOTQyMi8zODcwNTAtMDEuanBnXzMwMFd4MzAwSHwzZWNlYmJlYzVlY2E4ODUzYmUyZGQwODdkZTUzOGYzZmU0ZWZhYTE5MDgxNDU0OWM2ZDU0MWEwNTIzNTQ2Yjk1
Mandarin Pakistan,1kg,3.25,https://www.luluhypermarket.com/medias/36310-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wyMDA0NnxpbWFnZS9qcGVnfGltYWdlcy9oOTgvaDMxL2gwMC85MzE3NjM0ODM0NDYyLmpwZ3xmNTAxNmVhZDNkYzNlMmEwN2QyZjVlNTAwY2QwMTQ3Njg4OWRkZTEwYjA4ZTE3OWQ0N2FkOGY4MDVjMzE1MTEz
